Fakultet,,,,,,,,,
FDU,Kategorija,Potkategorija,Naslov,Godina,Autor,Izdavac,Tagovi,Link do knjige,Opis
,,,"Medical Imaging Systems
An Introductory Guide",2018,"Editors 
Andreas Maier
Stefan Steidl
Vincent Christlein
Joachim Hornegger","Springer, Cham","Digital signal processing
Image processing
Image representations
Image segmentation
Life and medical sciences
Medical technologies
Open access
Reconstruction
Signal processing systems",https://drive.google.com/file/d/1ohQwQK7zwKZB2s7IyOd02jiN-XaKspN2/view?usp=sharing,"This open access book gives a complete and comprehensive introduction to the fields of medical imaging systems, as designed for a broad range of applications. The authors of the book first explain the foundations of system theory and image processing, before highlighting several modalities in a dedicated chapter. "
,,,"mHealth Innovation in Asia
Grassroots Challenges and Practical Interventions",2018,"Editors 
Emma Baulch
Jerry Watkins
Amina Tariq","Springer, Dordrecht","mHealth 
Innovation
Asia
mHealth Projects
Infrastructures of mHealth
Mobile Health
Wellbeing
Media and Communications",https://drive.google.com/file/d/1VyoSNKTNE-02rTOnopds8sXQx2QqDOiH/view?usp=sharing,"This book offers a detailed account of a range of mHealth initiatives across South, Southeast and East Asia. It provides readers with deep insights into the challenges such initiatives face on the ground, and a view of the diverse cultural contexts shaping strategies for overcoming these challenges. The book brings together various discussions on the broader mHealth literature, and demonstrates how a research focus on diverse Asian contexts influences the success and/or failure of current mHealth initiatives. It also highlights the important roles social scientists can play in advancing theoretical approaches, as well as planning, implementing and evaluating mHealth initiatives. The book is a valuable resource for project planners, policy developers in NGOs and government institutions, as well as academics, researchers and students in the fields of public health, communications and development studies."
,,,Computational Conflict Research,2020,"Editors
Emanuel Deutschmann
Jan Lorenz
Luis G. Nardin
Davide Natalini
Adalbert F. X. Wilhelm","Springer, Cham","conflict modeling
social network analysis
terrorism
computational social science",https://drive.google.com/file/d/1fuxWTcfYUkdloz9IOExZCd7ac-muV7xM/view?usp=sharing,This open access book brings together a set of original studies that use cutting-edge computational methods to investigate conflict at various geographic scales and degrees of intensity and violence. 
,,,Models of Computation,2015,Jeff Erickson,Self-published,"automatons
 computing
 determinism
 programming languages
 state machine
 Turing
 computing",https://drive.google.com/file/d/1iGqePKIy19jUZ36crwx-hqD8LqZVz0tq/view?usp=sharing,"This course is a broad introduction to theoretical computer science, aimed at third-year computer science and computer engineering majors, that covers both fundamental topics in algorithms, for which I already have copious notes, and fundamental topics on formal languages and automata, for which I wrote the notes you are reading now."
,,,The Computer Science Handbook,2015,Michael Young,Self-published,"algorithmics
CS
 data structure
 dynamic programming
 graphs
Computer Science",https://drive.google.com/file/d/1EiD72sfHACV2GXr9Mj1WFn9BZlS4txEy/view?usp=sharing,The Computer Science handbook is a handbook designed to explain algorithms and data structures in a way that anyone can understand. The artists have tried their hardest to simplify all language to make it easy to read without any math or computer science background.
,,,Introduction to Theory of Computation,2014,"Anil Maheshwari
 Michiel Smid",	Carleton University,"algorithmics 
automatons  
complexity computing 
finite automaton 
maths 
Turing",https://drive.google.com/file/d/1vDFGhwQqwXgb8yuk6WiuCCHVT1ZdsEaQ/view?usp=sharing,This course is on the Theory of Computation. Purpose of the Theory of Computation is to develop formal mathematical models of computation that reflect real-world computers.
,,,Advanced biometric technologies,2011,"Girija Chetty
 Jucheng Yang",InTech,"authentication
biometric
 identification
 robotics
 security
 sensors
algorithms
 robotics",https://drive.google.com/file/d/1fuCBEhesPFNCQJ-SqyQjE3PkwgU_3UE6/view?usp=sharing,This book shows the latest advancements in this field for the implementation of robust and high-performance authentication systems.
,,,Basics of Compiler Design,2010,Torben Aegidius Mogensen,	University of Copenhagen,"DFAs
 interpreters
 lexical analysis
 machine code
 optimization
 programming",https://drive.google.com/file/d/1iDXv1ydy8SoV5VJFg4tmVe9L6eak-GZO/view?usp=sharing,"In order to reduce the complexity of designing and building computers a program for a computer must be built by combining very simple commands into a program in what is called machine language. This language can be very different from the machine language that the computer can execute, so some means of bridging the gap is required. This is where this book comes in."
,,,Building Blocks for Theoretical Computer Science,2013,Margaret M. Fleck,	Self-published,"algorithms
 Big O
 complexity
 graphs
 maths
programming
 science
 trees",https://drive.google.com/file/d/1ZQ1ICqhGkvHr7YGE2-hMVcCWoHvac0Ux/view?usp=sharing,"This book teaches two different sorts of things, woven together. It teaches you how to read and write mathematical proofs. It provides a survey of basic mathematical objects, notation, and techniques which will be useful in later computer science courses. And, finally, it gives a brief introduction to some key topics in theoretical computer science: algorithm analysis and complexity, automata theory, and computability."
,,,Computational and Inferential Thinking,2017,"David Wagner 
Henry Milner",	Berkeley University,"algorithms,
algorithmics
 programming
 Python",https://drive.google.com/file/d/1Aja4dVQIDHmxX39geAzdoS1tQy6WGJCB/view?usp=sharing,"Data Science is about drawing useful conclusions from large and diverse data sets through exploration, prediction, and inference. Exploration involves identifying patterns in information. Prediction involves using information we know to make informed guesses about values we wish we knew. This book explains these in detail."
,,,Computer Science I,2015,Chris Bourke,University of Nebraska–Lincoln,"CS
 Java
 PHP
programming",https://drive.google.com/file/d/1I3EZz7z5PxByA6MFJvzenj69T1A59hm7/view?usp=sharing,"Computer Science is not programming. Programming is a necessary skill, but it is only the beginning. This book is intended to get you started on your journey."
,,,Curves and Surfaces In Geometric Modeling: Theory And Algorithms,2013,Jean Gallier,	University of Pennsylvania,"algorithmics
geometry
 maths
science",https://drive.google.com/file/d/1tp-p5qwmugAxQ_BSTwzQGFokizbSXKhN/view?usp=sharing,"This book is primarily an introduction to geometric concepts and tools needed for solving problems of a geometric nature with a computer. Our main goal is to provide an introduction to the mathematical concepts needed in tackling problems arising notably in computer graphics, geometric modeling, computer vision, and motion planning, just to mention some key areas. "
,,,Data-Intensive Text Processing with MapReduce,2010,"Jimmy Lin
Chris Dyer",Morgan & Claypool Publishers,"algorithmics
 cloudcomputing
 Hadoop
map-reduce
 programming
 algorithms",https://drive.google.com/file/d/1zyVYa3L24D-zOzMvwBB6I_y5ZgBjec7t/view?usp=sharing,"This book focuses on MapReduce algorithm design, with an emphasis on text processing algorithms common in natural language processing, information retrieval, and machine learning. This book not only intends to help the reader ""think in MapReduce"", but also discusses limitations of the programming model as well."
,,,Fundamentals of Computer Graphics,2010,David J. Eck,	Hobart and William Smith Colleges,"graphics
 Java
 Jogl 
Opengl
 video games
 computer programming",https://drive.google.com/file/d/1mB8-JmARR2LqGNQ5QzfFxohLAhsvQWOX/view?usp=sharing,"These notes represent an attempt to develop a comprehensive manual on computer graphics, focusing on three-dimensional environments."
,,,High performance computing and numerical modelling,2014,Volker Springel,Volker Springel ,"algorithmics
 computing
 Euler
 maths
 numerical modeling
 algorithms
 science",https://drive.google.com/file/d/1hgLbdSphbb80ePqHgF1s1Xp1UIgOBzbF/view?usp=sharing,"The written notes presented here quite closely follow the lectures as held in Villars-sur-Ollon. The discussion is often at an introductory level, but hopefully still useful as a general overview for students working on numerical models of galaxy evolution and star formation. Interested readers are referred to some of the references for a more detailed and mathematically sound exposition of the numerical techniques."
,,,Introduction to Computer Graphics,2016,David J. Eck,	Self-published,"3D
 graphic design
 graphics
 OpenGL
pixel
SVG",https://drive.google.com/file/d/1WW6LYkkIC6-ifvXigC_vJ3WGJ7vWwp5a/view?usp=sharing,"This textbook represents my attempt to develop a modern first course in computer graphics, which would typically be taken by a computer science student in the third or fourth year of college. A reader should have substantial experience with at least one programming language, including some knowledge of object-oriented programming and data structures. "
,,,Introduction to Computational Physics and Monte Carlo Simulations of Matrix Field Theory,2015,Badis Ydri,	Annaba University,"algorithmics
 computing
 Euler 
maths
Monte Carlo
 random
simulation
 science
 algorithms",https://drive.google.com/file/d/15gWrefHPub2J3ofdyfL9SMKnYcsjr975/view?usp=sharing,"This book is divided into two parts. In the first part we give an elementary introduction to computational physics consisting of 21 simulations which originated from a formal course of lectures and laboratory simulations delivered since 2010 to physics students at Annaba University. The second part is much more advanced and deals with the problem of how to set up working Monte Carlo simulations of matrix field theories which involve finite dimensional matrix regularizations of noncommutative and fuzzy field theories, fuzzy spaces and matrix geometry."
,,,Introduction to High Performance Scientific Computing,2014,Victor Eijkhout,	Self-published,"architecture
computer programming
 maths
 science
 algorithms
 arithmetic
 big data
 computing
 linear algebra
 parallel computing
 software architecture",https://drive.google.com/file/d/1upN5_LBmhWHYMRHnR_khXXIqfWeSVjGG/view?usp=sharing,"This book aims to cover the basics of this gamut of knowledge that a successful computational scientist needs to master. It is set up as a textbook for graduate students or advanced undergraduate students; others can use it as a reference text, reading the exercises for their information content."
,,,Introduction to the Modeling and Analysis of Complex Systems,2015,Hiroki Sayama,Open SUNY Textbooks,"analysis
automatons
 chaos
 modeling
programming
Python
 maths",https://drive.google.com/file/d/1wl-jbIRkmdVDgvpoOjgAV6qii12xn9uZ/view?usp=sharing,Introduction to the Modeling and Analysis of Complex Systems introduces students to mathematical/computational modeling and analysis developed in the emerging interdisciplinary field of Complex Systems Science. 
,,,Language strategies for the domain of colour,2015,Joris Bleys,Language Science Press,"AI
color
 design
 language
 3D
 graphic design
 languages",https://drive.google.com/file/d/1Sw-uvJotqzeA0E75EubTHjp6newQStJ4/view?usp=sharing,"In this book, I show how the current models in artificial language evolution can be extended to allow for richer descriptions of colour samples. In order to do so, I deploy two powerful formalisms that have been developed to support this kind of experiments: Incremental Recruitment Language (IRL) to represent the semantics, or meaning, of linguistic utterances and Fluid Construction Grammar (FCG) to transform these meanings into linguistic utterances and back."
,,,"Models Of Computation
Exploring the Power of Computing",,John E. Savage,Brown University,"mathematics
maths
computation
machines
 Computer Science",https://drive.google.com/file/d/1iGqePKIy19jUZ36crwx-hqD8LqZVz0tq/view?usp=sharing,The role of Computer Science as well as its connections with the broader study of mathematics is discussed in this book. Explore the topic in detail and gain a broader understanding of this branch of study.
,,,Matters Computational,2011,Jorg Arndt,	Springer,"algorithms
 design patterns
programming
 C",https://drive.google.com/file/d/1gHuVRnBgQ4fyB_sSwIiiNXIw-IQrEkLR/view?usp=sharing,"This book is written for any developer interested in computing methods. Many of the concepts discussed here do not usually appear in textbooks or those dedicated to algorithms, so finding them together in a single volume can be of great help to both the student and the professional."
,,Computer Systems and Programming,,,,,,,
,,,Computer Architecture and System Programming,2010,Stefan Heule,	Self-published,"architecture
 performance
 programming
C",https://drive.google.com/file/d/1M1-gFBYhWRNwd-nzT7yQAE-Z29xtCZz0/view?usp=sharing,"This short essay collects the annotations made by its authors during their computer programming and architecture courses held in 2009. In it, through the C language, both basic aspects of development and those that can be extrapolated to other environments are covered. A simple and quick manual that can be a good starting point for a solid introduction to programming."
,,,Computer Graphics,2012,Nobuhiko Mukai,	INTECH,"2D
3D
 design 
graphic design
 infographics
 lighting
 modeling
 render",https://drive.google.com/file/d/1sZ5XHcc9KB3CbTJ-QDW1GbjsZfv9jYBN/view?usp=sharing,This book covers more advanced technologies and techniques for computer graphics modeling and rendering.
,,,A Computer Science Tapestry,1999,Owen L. Astrachan,Duke University,"C++
 computing
 OOP
programming
 algorithms",https://drive.google.com/file/d/1Almno-v3MV_4lALBPJkDQ3R0-57R78rb/view?usp=sharing,"This book is a textbook, not a reference book: while textbooks teach, the rest provide content where it is easy to find a quick answer to a specific problem."
,,,Computer Systems,2013,Daniel J. Taipala,University of the People,"Boole
 Boolean algebra
 computer systems
Digital Logic
 machine language",https://drive.google.com/file/d/1tYYuh4cYtqkVuMbaQLhbOaH82rfNlilk/view?usp=sharing,This book has been developed as a companion text to the University of the People course CS1104 Computer Systems. 
,,,Voice Communication with Computers: Conversational Systems,2008,Christopher Schmandt,	Van Nostrand Reinhold,"algorithms
 algorithmics
interaction
 perception
 programming
speech
synthesizers",https://drive.google.com/file/d/1LtGT14VytlJ3AdbcB_5s3vbcof3dTGSm/view?usp=sharing,This book serves as graduate class notes to supplement technical readings from a number of disciplines. 
,,,Buffer Overflows: Anatomy of an Exploit,2012,Joshua Hulse,	Desktop publishing,"architecture
 C
 computer programming
 languages
security
 attacks
 buffer
 CPP",https://drive.google.com/file/d/1XpfpXkGnujpC9hmT9W466U8Vgx8YHcaJ/view?usp=sharing,"The purpose of this document is to review how well-known stack overflows occur. During it, it will be explained how software engineers should consider the stack during a design stage regardless of the language in which they work (assembler, C, C ++, etc). The ultimate goal will be to avoid the vulnerability of a code against attacks."
,,,Maven: The Complete Reference,2011,Various,Sonatype,"Java
 projects
 free software
 tools
 computer programming",https://drive.google.com/file/d/1UvswTmcxrA4XD_O08mRhRUaAaiU4-Q5g/view?usp=sharing,"Maven is a Java project management and construction software tool created by Jason van Zyl of Sonatype in 2002. It is similar in functionality to Apache Ant (and to a lesser extent to PEAR of PHP and CPAN of Perl), but has a simpler build configuration model, based on an XML format. "
,,,Operating Systems and Middleware: Supporting Controlled Interaction,2016,Max Hailperin,	Gustavus Adolphus College,"memory
 dealings
middleware
 multilayered architecture
 RPC
synchronization
 web services",https://drive.google.com/file/d/1PMZvk14AqJP6BL824EyKQUPcli-pQC0X/view?usp=sharing,"In this book, you will learn how to bring the levels of interaction to the field of software, in that paradigm that has been called additional layer software, also known as middleware: controlled interaction of calculations that involve several programs allowing them to interact with each other."
,,,The Linux Development Platform,2003,"Rafeeq Ur Rehman
Christopher Pau",	Prentice Hall,"GNU
 CVs
 Debug
 Java
 computer programming
free software
 java",https://drive.google.com/file/d/12G2kggSSYU1BSITZirRr0oN84Ne7gJmW/view?usp=sharing,"The GNU collection of programming utilities is by far the most widely used family of compilers in this operating system. It has the ability to compile C, C ++, Java, Ada, among many other languages. It also supports various architectures through cross-compilation, which makes it a suitable environment for heterogeneous developments."
,,,"Supercomputing Frontiers
5th Asian Conference, SCFA 2019, Singapore, March 11–14, 2019, Proceedings",2019,"Editors
David Abramson
Bronis R. de Supinski","
Springer, Cham","supercomputing
memory subsystems
linear algebra
data storage
image processing
artificial intelligence
cloud computing
hardware
computer science
microprocessor 
parallel processing 
virtual reality",https://drive.google.com/file/d/19sQSjxa_hShbqfzfj8B24c20zW2JsT2O/view?usp=sharing,"This open access book constitutes the refereed proceedings of the 5th Asian Supercomputing Conference, SCFA 2019, held in Singapore in March 2019. 
The 6 full papers presented in this book were carefully reviewed and selected from 33 submissions. They cover a range of topics including memory fault handling, linear algebra, image processing, heterogeneous computing, resource usage prediction, and data caching."
,,,"Building the Infrastructure for Cloud Security
A Solutions view",2014,"Raghu Yeluri
Enrique Castro-Leon","Apress, Berkeley, CA","TXT
 Intel
 geo-location
 cloud 
OpenStack",https://drive.google.com/file/d/16PJXut-3MMz1EmBjtFAWx47ub-BIxaJl/view?usp=sharing,This book provides use cases and solution reference architectures to enable infrastructure integrity and the creation of trusted pools leveraging Intel Trusted Execution Technology (TXT).
,,,Pro Git,2014,"Scott Chacon
Ben Straub","Apress, Berkeley, CA","Linux
 free software
 open source",https://drive.google.com/file/d/1--ggB53nC-il6ytQ6CEl5huB6tQ5ftdD/view?usp=sharing,Pro Git (Second Edition) is your fully-updated guide to Git and its usage in the modern world. Git has come a long way since it was first developed by Linus Torvalds for Linux kernel development. This book teaches you how to use it like a pro.
,,,Cloud-Based Benchmarking of Medical Image Analysis,2017,"Editors 
Allan Hanbury
Henning Müller
Georg Langs","Springer, Cham","Image Processing
Health Informatics
Medical Sciences
Performance Evaluation
Cloud Computing",https://drive.google.com/file/d/1lDkRtTIliM8hmMGwn_k6ba5dac9mzpdO/view?usp=sharing,"This book presents the VISCERAL project benchmarks for analysis and retrieval of 3D medical images (CT and MRI) on a large scale, which used an innovative cloud-based evaluation approach where the image data were stored centrally on a cloud infrastructure and participants placed their programs in virtual machines on the cloud. The book presents the points of view of both the organizers of the VISCERAL benchmarks and the participants."
,,,"Supercomputing Frontiers
4th Asian Conference, SCFA 2018, Singapore, March 26-29, 2018, Proceedings",2018,"Editors 
Rio Yokota
Weigang Wu","Springer, Cham","artificial intelligence
big data
cloud computing
communication
computer architecture
computer science
data management
databases
hardware
High-Performance Computing (HPC)
semantics
wireless telecommunication systems",https://drive.google.com/file/d/1fG8PRD5MoZ9Mv17nXq_ER08xI48ohor9/view?usp=sharing,"It constitutes the refereed proceedings of the 4th Asian Supercomputing Conference, SCFA 2018, held in Singapore in March 2018. Supercomputing Frontiers will be rebranded as Supercomputing Frontiers Asia (SCFA), which serves as the technical programme for SCA18. The technical programme for SCA18 consists of four tracks: 

Application, Algorithms & Libraries
Programming System Software
Architecture, Network/Communications & Management
Data, Storage & Visualisation"
,,Data Analytics,,,,,,,
,,,Advanced Topics in Multimedia Research,2012,Sagarmay Deb,	INTECH,"image
 information
 multimedia
 social network
 teaching",https://drive.google.com/file/d/1Y1jGNMsWlHv4UBssRLoEsE_MdgnB0gT-/view?usp=sharing,"This manual collects your latest advances in cutting-edge research as well as the latest techniques applied to this field. The four sections into which the content of this book can be divided:

Efficient flows in terms of Multimedia information
Use of Multimedia devices in social networks
Multimedia images
Distance education through the use of Multimedia technologies"
,,,Advanced Video Coding for Next-Generation Multimedia Services,2013,Yo-Sung Ho,	INTECH,"AVC
compression
 encoding
H264
 MPEG
 multimedia
 pixel
 video
 VLSI",https://drive.google.com/file/d/1qYQgIusMZpyHbZZKWYTcvWYHD8l5WSH5/view?usp=sharing,"This book aims to bring together recent advances and applications of video coding. All chapters can be useful for researchers, engineers, graduate and postgraduate students, experts in this area, and hopefully also for people who are generally interested in video coding."
,,,Cross-Media Communications,2010,"Editor
Drew Davidson ",	ETC Press,"multimedia
design
 development",https://drive.google.com/file/d/1aJ6BFQ0mdq2o7kO7YgLwPwWLkiSm61uz/view?usp=sharing,This textbook was written with Freshman-level Courses in mind. The overarching goal is to provide an overview of cross-media design and development. It is meant to be interdisciplinary and introductory in concept and implementation.
,,,Your Guide to Google Analytics,2012,Ryan Dube,makeuseof.com,"analytics
 SEM/SEO
 Google
 web",https://drive.google.com/file/d/1h4OhfhMZ4_9XF5WpansnxXpQr-SK_ihM/view?usp=sharing,This concise guide will show you how to take advantage of your web analytics while learning how to measure it correctly.
,,,Image Restoration - Recent Advances and Applications,2012,Aymeric Histace,	InTech,"graphic design
multimedia
 3D
 image
 restoration",https://drive.google.com/file/d/1fYfNp8MxX_W-OjoDR032Vglxw_VuQmni/view?usp=sharing,This book represents a sample of the recent contributions that researchers are making in the field of image restoration.
,,,Interactive Multimedia,2012,Ioannis Deliyannis,	InTech,"interaction
 interfaces
 learning
 multimedia
 TV
 usability
 UX
 video",https://drive.google.com/file/d/1CsgRGt30Hhs-NdQC0tchz-z8E1H4_4Ny/view?usp=sharing,"This book presents scientific research, proven methodologies, and interdisciplinary studies related to the field of this so-called new Multimedia revolution."
,,,Signal Computing: Digital Signals in the Software Domain,2016,"Michael D. Stiber
Bilin Zhang Stiber
Eric C. Larson",	National Science Foundation,"algorithmics
 audio
 compression
 I/O
 MPEG
multimedia
 programming
signals
 algorithms",https://drive.google.com/file/d/1_ydwdEIJGZb65vADfjpJqFcRCvYjxCT6/view?usp=sharing,"As computing professionals, we need to understand how computers can process information from the physical world as digital signals: multimedia (sound, images, video) and other measurements (in medical instruments, cars, cell phones, eyeglasses, etc). This is why this book is named Signal Computing."
,,,Sound Souvenirs,2009,"Editors
Karin Bijsterveld 
José van Dijck ",Amsterdam University Press,"information
multimedia
 audio",https://drive.google.com/file/d/1X6rrDfUCSrWT1DKBir_nlqe3aVZUP0bX/view?usp=sharing,"This book explores several types of cultural practices involving the remembrance and restoration of past sounds. At the same time, it theorizes the cultural meaning of collecting, recycling, reciting, and remembering sound and music."
,,,"Transmedia Storytelling: Imagery, Shapes and Techniques",2011,Max Giovagnoli,	ETC Press,"communication
 mass media
 information
 transmedia",https://drive.google.com/file/d/1u2JaWmPTFXinIwSlOLZY5s7VtMeNnAfI/view?usp=sharing,"Transmedia Storytelling explores the theories and describes the use of the imagery and techniques shared by producers, authors and audiences of the entertainment, information and brand communication industries as they create and develop their stories in this new, interactive ecosystem."
,,,Introduction to Time Series and Forecasting,2016,"Peter J. Brockwell
Richard A. Davis","Springer, Cham","ITSM 2000
Univariate 
Multivariate
Spectral analysis
State-space models
Forecasting techniques",https://drive.google.com/file/d/1UrVrZL4GJQbHbbVOCLPBZ5_cZKpLq52n/view?usp=sharing,"This book is aimed at the reader who wishes to gain a working knowledge of time series and forecasting methods as applied to economics, engineering and the natural and social sciences. It assumes knowledge only of basic calculus, matrix algebra and elementary statistics.  This third edition contains detailed instructions for the use of the professional version of the Windows-based computer package ITSM2000."
,,,"Excel Data Analysis
Modeling and Simulation",2019,Hector Guerrero,"Springer, Cham","business modeling
Excel
statistical analysis
statistical methods
data analysis
linear optimization
programming
simulations",https://drive.google.com/file/d/1fQRdKP2-O_E3xPO3Wef-9T8XMBxFMDSX/view?usp=sharing,"This book offers a comprehensive and readable introduction to modern business and data analytics. It is based on the use of Excel, a tool that virtually all students and professionals have access to. "
,,,"Advances in Intelligent Data Analysis XVIII
18th International Symposium on Intelligent Data Analysis, IDA 2020, Konstanz, Germany, April 27–29, 2020, Proceedings",2020,"Editors (view affiliations)
Michael R. Berthold
Ad Feelders
Georg Krempl","Springer, Cham","data mining
learning systems
clustering
semantics
learning algorithms
supervised learning
social networks
neural networks
artificial intelligence
computer vision
correlation analysis",https://drive.google.com/file/d/143cFwxG1tewu8g3Nq692pQOCF2KonqNF/view?usp=sharing,"This open access book constitutes the proceedings of the 18th International Conference on Intelligent Data Analysis, IDA 2020, held in Konstanz, Germany, in April 2020.
The 45 full papers presented in this volume were carefully reviewed and selected from 114 submissions. Advancing Intelligent Data Analysis requires novel, potentially game-changing ideas. IDA’s mission is to promote ideas over performance: a solid motivation can be as convincing as exhaustive empirical evaluation."
,,Education,,,,,,,
,,,"Research Assessment
in the Humanities
Towards Criteria and Procedures",2016,"Editors
Michael Ochsner
 Sven E. Hug
Hans-Dieter Daniel",,"research performance
 SSH
 quantitative and qualitative research",https://drive.google.com/file/d/1SagQz4IR2-AuobX82QuDwcBjGB8YpS5D/view?usp=sharing ,"The volume that lays in front of you covers an important topic, namely the search for academic quality in research in the domain of the humanities and, particularly, how to come to terms on how to operationalize that in research assessment contexts."
,,,"Informatics in the Future
Proceedings of the 11th European Computer Science Summit (ECSS 2015), Vienna, October 2015",2017,"Editors 
Hannes Werthner
Frank van Harmelen","Springer, Cham","Computing profession
Big data
Computing ethics
Women in computing
Research ethics
Research organization
History of computing
Philosophy",https://drive.google.com/file/d/1_GeQho21DOh3cN6ojyUdfIA9BtjNDmbu/view?usp=sharing,"This volume discusses the prospects and evolution of informatics (or computer science), which has become the operating system of our world, and is today seen as the science of the information society. Its artifacts change the world and its methods have an impact on how we think about and perceive the world. "
,,,"Instructional Scaffolding in STEM Education
Strategies and Efficacy Evidence",2017,Brian R. Belland,"Springer, Cham","Computer-based scaffolding
STEM education
Instructional scaffolding
strategies",https://drive.google.com/file/d/1quf50xdbPyvuLiXrCJ8bZkoPKPAiNd1T/view?usp=sharing,"This book uses meta-analysis to synthesize research on scaffolding and scaffolding-related interventions in STEM (science, technology, engineering, and mathematics) education. Specifically, the volume examines the extent to which study quality, assessment type, and scaffolding characteristics (strategy, intended outcome, fading schedule, scaffolding intervention, and paired intervention) influence cognitive student outcomes."
,,,"Linked Open Data -- Creating Knowledge Out of Interlinked Data
Results of the LOD2 Project",2014,"Editors 
Sören Auer
Volha Bryl
Sebastian Tramp","Springer, Cham","data authoring
data enrichment
interlinking data 
management systems 
visualization
information systems
linked data
framework
semantic
 Web",https://drive.google.com/file/d/1nqSIsZ1gOkB-4cXUKYZ1nvrK6zI2Z5QB/view?usp=sharing, This book presents an overview on the results of the research project “LOD2 -- Creating Knowledge out of Interlinked Data”. LOD2 is a large-scale integrating project co-funded by the European Commission within the FP7 Information and Communication Technologies Work Program. 
,,,"Protecting the Rights of People with Autism in the Fields of Education and Employment
International, European and National Perspectives",2015,"Editors 
Valentina Della Fina
Rachele Cera","Springer, Cham","Autism
Corporate Social Responsibility
Disability
Human rights
UN Convention on the Rights of Persons with Disabilities",https://drive.google.com/file/d/1qf_zmzRfhOMJ-OGZ9_kGaxr37dwsjmJT/view?usp=sharing,The book contains the scientific results of the European Project “Promoting equal rights of people with autism in the field of employment and education” aimed at supporting the implementation of the UN Convention in the fields of inclusive education and employment.
,,,Re-engineering the Uptake of ICT in Schools,2015,"Editors
Frans Van Assche
Luis Anido
David Griffiths
Cathy Lewin
Sarah McNicol","Springer, Cham","Educational apps
educational cloud
future classroom
learning activities
technology
mainstreaming
schools",https://drive.google.com/file/d/1q3Ehh-T9tis45Oqd4olqBC7--fBGr03Q/view?usp=sharing,"This book reports on a novel and comprehensive approach to the uptake of ICT in Schools. It focuses on key questions, pedagogically sound ways of introducing ICT, new technical artifacts supporting the approach, the evaluation in a large-scale validator, and future work. "
,,,"Science and Technology Governance and Ethics
A Global Perspective from Europe, India and China",2015,"Editors
Miltos Ladikas
Sachin Chaturvedi
Yandong Zhao
Dirk Stemerding","Springer, Cham","Ethics
Public engagement
Public perceptions
Responsible governance
Science and technology policy",https://drive.google.com/file/d/1JJfV-ZtCZE_Rt6ZTkotqqJ0bBmiDtbRR/view?usp=sharing,"This book analyzes the possibilities for effective global governance of science in Europe, India and China. The book introduces a common analytical framework for the comparative discussion of ethics at the international level. The authors offer policy recommendations for effective collaboration among the three regions, to promote responsible governance in science and technology and a common analytical perspective in ethics."
,,,Teaching Tolerance in a Globalized World,2018,"Editors 
Andrés Sandoval-Hernández
Maria Magdalena Isac
Daniel Miranda","Springer, Cham","diversity
International
 large-scale assessment
International Civic and Citizenship Study
comparative and international education
School segregation
Intergenerational transmission of inequality
Open classroom ",https://drive.google.com/file/d/11kZpoVm8xQcPdnYm6pHZ-OOsu3D9Omrp/view?usp=sharing,This open access thematic report identifies factors and conditions that can help schools and education systems promote tolerance in a globalized world. T
,,,"Open and Distance Education in Australia, Europe and the Americas
National Perspectives in a Digital Age",2018,"Editors
Adnan Qayyum
Olaf Zawacki-Richter","Springer, Singapore","education systems
open education
distance learning
online education
eLearning
National higher education systems
Open learning
Open Universities
open access
learning and instruction",https://drive.google.com/file/d/1EoOIG7DmvVbgQ6MI2xWBmZetd7yZtZkn/view?usp=sharing,"This book describes the history, structure and institutions of open and distance education in six countries: Australia, Brazil, Canada, Germany, the UK and the US. It discusses how open and distance education is evolving in a digital age to reflect the needs and circumstances of national higher education systems in these countries, and explores the similarities and differences between the ways in which they are organized and structured."
,,,"Becoming Citizens in a Changing World
IEA International Civic and Citizenship Education Study 2016 International Report",2018,"Wolfram Schulz
John Ainley
Julian Fraillon
Bruno Losito
Gabriella Agrusti
Tim Friedman","Springer, Cham","Civic Education
ICCSIEA 
Educational Achievement
Civic knowledge
Civics and citizenship
Education ",https://drive.google.com/file/d/1r0MsSi2hiUuywYqhFiEtRg8GUVsakeVo/view?usp=sharing,"This open access book presents the results from the second cycle of the IEA International Civic and Citizenship Education Study (ICCS 2016). Using data from 24 countries in Asia, Europe and Latin America, the study investigates the ways in which young people are prepared to undertake their roles as citizens in a range of countries in the second decade of the 21st century."
,,,"Curriculum Reform in the European Schools
Towards a 21st Century Vision",2018,"Sandra Leaton Gray
David Scott
Peeter Mehisto","Palgrave Macmillan, Cham","European Union
Economic Community
European Baccalaureate
EU expansion
assessment reform
european union politics",https://drive.google.com/file/d/1AN_AgknV-aNDW5LfTrMie8l-dyPwzzqU/view?usp=sharing,"This open access book examines the modern role of the European School system within the European Union, at a time when the global economy demands a new vision for contemporary education. "
